S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills,,,,,,,,,,,,,,,,,,,,
72,Deskfactors Inc.,React.js Developer (Remote Working),Entry level,2,3,Information Technology & Services, Engineering Information Technology ,Java CSS JavaScript Angular React,,,,,,,,,,,,,,,,,,,,
73,Concent Solutions,Software Engineer,Entry level,,NA,Information Technology & Services, Engineering Information Technology ,HTML5 JavaScript React,,,,,,,,,,,,,,,,,,,,
74,Chaitrasoft,Android Developer - Java/SDK/Firebase (2-5 yrs) Hyderabad (Mobile Applications),Entry level,2,5,Human Resources, Engineering Information Technology ,Java,,,,,,,,,,,,,,,,,,,,
75,Diverse Lynx,Sr. Mobile Developers (Android/ IOS),Entry level,6,4,Computer Software, Information Technology ,,,,,,,,,,,,,,,,,,,,,
76,DigiCollect,Frontend Web Developer,"1,036 applicants",,NA,Computer Software, Engineering Information Technology ,C HTML5 CSS JavaScript Angular CSS3 NodeJS,,,,,,,,,,,,,,,,,,,,
77,Veuz Concepts,UI/UX Developer,9 applicants,4,NA,Information Technology & Services, Engineering Information Technology ,C HTML5 NA CSS JavaScript CSS3 NodeJS,,,,,,,,,,,,,,,,,,,,
78,Hudson Data,Senior Frontend Developer,Mid-Senior level,5,5,Computer Software, Engineering Information Technology ,C HTML5 JavaScript Angular React CSS3,,,,,,,,,,,,,,,,,,,,
79,MNR Solutions Pvt. Ltd,Android Developer - Mobile App Designing (4-6 yrs) Noida (Mobile Applications),Entry level,5,3,Staffing & Recruiting, Engineering Information Technology ,,,,,,,,,,,,,,,,,,,,,
80,Moonfrog Labs,Engineering Manager,Mid-Senior level,10,2,Computer Games, Engineering Information Technology ,C,,,,,,,,,,,,,,,,,,,,
81,Emblaze Mobile,Android Developer - Java/SDK/Android Studio (1-2 yrs) Coimbatore (Mobile Applications),Entry level,1,2,Telecommunications, Engineering Information Technology ,Java,,,,,,,,,,,,,,,,,,,,
82,Software AG,Technical Writer,Associate,4,8,Computer Software, Marketing Public Relations Writing/Editing ,C,,,,,,,,,,,,,,,,,,,,
83,wayForward (PsyInnovations India),Software Engineer (Full Stack),535 applicants,2,NA,Mental Health Care, Engineering Information Technology ,C SQL JavaScript NodeJS,,,,,,,,,,,,,,,,,,,,
84,TheRecruit™,Android Developer - Java/SDK (2-7 yrs) Delhi NCR (Mobile Applications),Entry level,,NA,Staffing & Recruiting, Engineering Information Technology ,Java,,,,,,,,,,,,,,,,,,,,
85,99Yellow,Full Stack Developer - CakePHP (4-6 yrs) Bangalore (Frontend Developer),Associate,,NA,Human Resources, Engineering Information Technology ,C# Java CSS SQL JavaScript Angular React PHP,,,,,,,,,,,,,,,,,,,,
86,Nuvolo,Software Engineer III - ServiceNow,Associate,8,NA,Computer Software, Engineering Information Technology ,C CSS JavaScript React,,,,,,,,,,,,,,,,,,,,
87,Consult A Pro,Senior Android Developer - Mobile App Designing (5-8 yrs) Gurgaon/Gurugram (Mobile Applications),Associate,,NA,Information Technology & Services, Engineering Information Technology ,,,,,,,,,,,,,,,,,,,,,
88,PARC Kalite Consultant,Android Developer - Java/SDK (2-7 yrs) Mumbai (Mobile Applications),Entry level,2,2,Human Resources, Engineering Information Technology ,,,,,,,,,,,,,,,,,,,,,
89,Daydoc®,Principal Software Engineer,49 applicants,5,5,Hospital & Health Care, Information Technology Product Management Project Management ,C HTML5 CSS SQL JavaScript Angular PHP,,,,,,,,,,,,,,,,,,,,
90,We Bros Media Productions,Unity Developer,39 applicants,,NA,Media Production, Information Technology Engineering Art/Creative ,C Java,,,,,,,,,,,,,,,,,,,,
91,Lucideus,Lucideus Technologies - MAC Developer - Objective C/SWIFT (3-7 yrs) Bangalore (Mobile Applications),Entry level,,NA,Computer & Network Security, Engineering Information Technology ,C React NodeJS,,,,,,,,,,,,,,,,,,,,
92,Mphasis,Exciting times at Mphasis!!! | ReactNative Developer,Mid-Senior level,2,5,Information Technology & Services, Information Technology ,C React,,,,,,,,,,,,,,,,,,,,
93,Heady,Heady Technologies - Senior Quality Assurance Engineer - Web & Mobile App Testing - SQL/Appium (5-10 yrs) Mumbai (Quality Assurance),Associate,5,10,Information Technology & Services, Quality Assurance ,C SQL,,,,,,,,,,,,,,,,,,,,
94,OSoft Labs,OSoft Labs - Senior iOS Developer - Objective C/SWIFT Programming (4-6 yrs) Hyderabad (Mobile Applications),Associate,4,6,Information Technology & Services, Engineering Information Technology ,C,,,,,,,,,,,,,,,,,,,,
95,Web Synergies (india),Java Full Stack Developers,Entry level,3,5,Computer Software, Engineering Information Technology ,Java Spring Hibernate SQL,,,,,,,,,,,,,,,,,,,,
96,Freecharge,iOS Developer,Entry level,2,NA,Internet, Engineering Information Technology ,C React,,,,,,,,,,,,,,,,,,,,
97,Gmware,Sr. UI/UX Developer || Frontend Developer ( 3+ Yrs Exp Required),7 applicants,3,NA,Information Technology & Services, Engineering Information Technology ,C Python HTML5 AngularJS CSS JavaScript AngularJS Angular React CSS3,,,,,,,,,,,,,,,,,,,,
98,WhiteHat Jr,Lead Software Engineer,Associate,3,2,E-learning, Engineering Information Technology ,C Java React,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oracle,PostgreSQL,C,Spark,C#,Java,Python,Node.js,HTML5,ReactJS,AngularJS,NA,ASP.NET,C++,Golang,C/C++,CSS,Spring,Hibernate,SQL,JavaScript,Ruby,AngularJS,Angular,React,CSS3,Scala,NodeJS,PHP
3,1,,3,6,39,12,5,19,1,3,3,2,2,0,0,23,7,4,30,34,0,3,20,25,11,0,7,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,39,34,30,,,,,,,,,,,,,,,,,,,,
