S_no,job_company,job_role,job_level,job_experience_min,job_experience_max,job_industry,job_functions,job_skills
91,Talent Tigers,SDE/Principal Engineer/Software Development Engineer - Backend,Entry level,3,4,Outsourcing/Offshoring, Engineering Information Technology ,Oracle Java Golang Spring Hibernate SQL
92,Conigital Group,Software Engineer (JavaScript),Entry level,3,NA,Information Technology & Services, Engineering Information Technology ,Java Python Node.js C++ JavaScript React
93,Cohesity,Software Engineer -  Sustenance,467 applicants,8,15,Computer Software, Information Technology ,Python C++ C/C++
94,Reko Social,Software Developer ( NodeJS+ReactJS),52 applicants,4,2,Information Technology & Services, Engineering Information Technology ,Python CSS SQL JavaScript
95,Jobs via eFinancialCareers,Software Engineering - Java,Entry level,4,7,Staffing & Recruiting, Information Technology ,Oracle Java Spring Hibernate SQL Angular React
96,Mphasis,SSIS Developer,Entry level,4,6,Information Technology & Services, Engineering Information Technology ,Python SQL
97,Zscaler,Software Engineer - DevTest,Mid-Senior level,5,NA,Computer & Network Security, Engineering Information Technology ,Java C++
98,Lookout,"Senior Software Engineer, Continuous Delivery",Associate,7,12,Computer & Network Security, Engineering Information Technology ,Java Python Ruby
99,Luxoft,Senior Java developer,Associate,6,10,Information Technology & Services, Research Information Technology Engineering ,Spark Java SQL Scala
100,Chqbook.com,Senior Software Engineer - Backend,76 applicants,2,5,Financial Services, Marketing Sales ,Java Spring SQL NodeJS PHP
101,Cognizant,Python Developer - Lead,Mid-Senior level,2,NA,Information Technology & Services, Engineering ,Python SQL
102,Apptio,Software Development Engineer II,Entry level,4,8,Computer Software, Engineering Information Technology ,Java AngularJS ASP.NET CSS SQL AngularJS NodeJS
103,SPARK Business Works,Senior Software Engineer,75 applicants,5,NA,Information Technology & Services, Engineering Information Technology ,PostgreSQL Spark SQL Ruby PHP
104,GANIT SOFTECH PVT. LTD.,Software Engineer,692 applicants,,NA,Information Technology & Services, Engineering Information Technology ,SQL
105,Trillbit,Full Stack Developer,159 applicants,2,4,Information Technology & Services, Engineering Information Technology ,C# Java CSS SQL JavaScript Angular React
106,People Interactive,Software Engineer - Android,Associate,3,6,Internet, Engineering Information Technology ,Java
107,"System Two Advisors, LP",Software Developer,772 applicants,2,NA,Financial Services, Engineering Information Technology ,Oracle Java SQL Angular React
108,Concentrix,Software Engineer II,Entry level,9,4,Outsourcing/Offshoring, Engineering Information Technology ,C# AngularJS SQL AngularJS Angular NodeJS
109,Merkle Sokrati,Software Design Engineer,Executive,1,3,Marketing & Advertising, Engineering Information Technology ,Java Python NA JavaScript
110,Barclays Investment Bank,Connectivity Developer,Associate,5,NA,Financial Services, Engineering Information Technology ,C# Java Python C++ Scala
111,Mobileum,Mobileum - Software Engineer/Senior Software Engineer - Java Development (2-5 yrs) Bangalore (Backend Developer),Associate,2,5,Telecommunications, Engineering Information Technology ,Oracle Spark Java NA SQL
112,Veritas Technologies LLC,Software Engineer,Entry level,,NA,Computer Software, Engineering Information Technology ,Python
113,AvionX Inc,Software Engineer,294 applicants,2,5,Computer & Network Security, Engineering Information Technology ,
114,KloudOne (Hiring Cloud Engineering Talent!),Software Engineer,"1,196 applicants",2,5,Computer Software, Engineering ,SQL JavaScript Angular React
115,OpenText,Software Engineer,Entry level,3,5,Computer Software, Engineering Information Technology ,Java Spring SQL Angular
116,1Tab,Android Developer,Entry level,2,NA,"Health, Wellness & Fitness", Engineering Information Technology ,Java
117,Crossover for Work,"Software Engineer (Remote) - $60,000/year USD",134 applicants,100,8,Information Technology & Services, Business Development Engineering Information Technology ,Java C++ SQL JavaScript
118,FULL Creative,Software Engineer,167 applicants,2,4,Information Technology & Services, Engineering Information Technology ,Java CSS JavaScript React
119,L&T Technology Services Limited,Software Engineer,144 applicants,2,3,Information Technology & Services, Engineering ,C++
120,Medha,Back End Developer,59 applicants,,NA,Education Management, Engineering Product Management Quality Assurance ,Node.js HTML5 CSS JavaScript CSS3
121,insightMonk,Back End Developer,Associate,,NA,Internet, Engineering Information Technology Other ,Python SQL Angular
122,MiQ Digital India,Software Development Engineer in Test,Entry level,4,NA,Marketing & Advertising, Engineering Information Technology ,Java SQL
123,ucreate,Software Engineer,61 applicants,4,5,Information Technology & Services, Engineering Information Technology ,Node.js HTML5 ReactJS SQL JavaScript React CSS3 NodeJS PHP
124,Apisero Inc.,Software Developers,Associate,0,3,Information Technology & Services, Engineering Information Technology ,
125,Evolving Systems,Software Support Engineer,322 applicants,1,2,Telecommunications, Information Technology ,Oracle
126,NTT DATA Services,Java Developer - L3 Support,Entry level,3,5,Information Technology & Services, Engineering Information Technology ,Java SQL
127,McAfee,Senior Software Engineer,Mid-Senior level,6,10,Computer & Network Security, Engineering Information Technology ,C++
128,Growing Stars Inc,Software Engineer - Full Stack Developer,Entry level,1,NA,E-learning, Engineering Information Technology ,Node.js CSS Spring SQL JavaScript
129,Artivatic.ai [Insurtech],Artivatic.ai - Senior Android Developer - Mobile App Designing - MVVM/Kotlin (5-8 yrs) Bangalore,Associate,,NA,Insurance, Engineering Information Technology ,Java
130,Merkle,Software Design Engineer,Entry level,1,3,Marketing & Advertising, Engineering Information Technology ,Java Python NA JavaScript
131,Symphony RetailAI,Software Engineer,Associate,,NA,Information Technology & Services, Engineering Information Technology ,Oracle
132,Netskope,"Staff Engineer, Introspection",Mid-Senior level,10,NA,Computer Software, Engineering ,Python Golang SQL
133,ASM Technologies Ltd,Software Developer,Entry level,2,NA,Information Technology & Services, Engineering Information Technology ,
134,"SumTotal Systems, LLC",Software Engineer,Entry level,30,NA,Computer Software, Engineering Information Technology ,C# SQL Angular
135,Monotype,Senior Software Engineer,Associate,4,6,Design, Engineering Information Technology ,Python SQL JavaScript
136,ABB,Senior Software Engineer,Mid-Senior level,5,7,Electrical & Electronic Manufacturing, Engineering Information Technology ,Oracle C# Java HTML5 ASP.NET Angular
137,CellPoint Digital,Database Developer,306 applicants,3,NA,Information Technology & Services, Information Technology Engineering ,Oracle SQL
138,LimeTray,LimeTray - Software Engineer II - Java (2-4 yrs) Gurgaon/Gurugram (Backend Developer),Entry level,2,NA,Information Technology & Services, Engineering Information Technology ,Java Spring SQL Angular React
139,Eko India Financial Services Private Limited,Backend Developer,Entry level,,NA,Financial Services, Engineering Information Technology ,Java Spring SQL
140,Altran,Software Engineer - Fresher,Associate,1,2,Information Technology & Services, Engineering Information Technology ,
141,HARMAN Connected Services,Senior Software Engineer,Associate,,NA,Computer Software, Engineering Information Technology ,Java NA C++
142,Ceequence Technologies,Java developer Engineer â€“ L2,Entry level,2,NA,Outsourcing/Offshoring, Engineering Information Technology ,Java Spring Hibernate
143,Optum (formerly Alere Wellbeing),Software Engineer,Entry level,,NA,"Health, Wellness & Fitness", Engineering Information Technology ,SQL
144,Tesco Bengaluru,Principal Software Dev Engineer,Mid-Senior level,12,8,Retail, Information Technology ,Java
145,LTI - Larsen & Toubro Infotech,Bigdata Developer,Mid-Senior level,5,9,Information Technology & Services, Other Information Technology ,Spark Java
146,Infrrd,Android Developer,Entry level,1,15,Computer Software, Engineering Information Technology ,
147,GlobalLogic,Back End Developer(Scala & Play),Mid-Senior level,2,6,Computer Software, Engineering Information Technology ,Scala
148,McKinsey & Company,"Senior Software Engineer -Back end Java, Technology & Digital",Associate,4,8,Management Consulting, Consulting Information Technology ,Java HTML5 ReactJS AngularJS CSS SQL AngularJS CSS3
149,Palle Technologies,Software Developer,Entry level,,NA,Education Management, Engineering Information Technology ,Java Python
150,Talentica Software,Software Developer-Javascript,Associate,6,NA,Computer Software, Engineering Information Technology ,JavaScript
151,Amdocs,"Software Engineer - Java, Python, PL/SQL (3-5 years)",44 applicants,3,5,Telecommunications, Information Technology Engineering ,Java Python C++ C/C++ Spring SQL
152,Juniper Networks,Embedded Software Engineer (Network/Kernel Developer),Mid-Senior level,5,NA,Computer Networking, Information Technology Engineering Other ,Python
